Entity ID,Entity Type,Country Code,Question,Answer
faq-1,FAQ,US,What do I need to order?,"Prescription glasses or sunglasses: You'll need a valid eyeglasses prescription (make sure it's not for contacts!) and your pupillary distance (PD). Your PD is the distance in millimeters between your pupils, and helps us center your prescription correctly in your frames. If your doctor did not include your PD on your prescription, you can measure it using our online tool here. You can also stop by any of our retail stores where our trained associates can measure your pupillary distance (PD).Once you have your PD, you can either hand-write it onto the copy of your prescription before scanning or submit the measurement.Contact lenses: If you're ordering contact lenses, you'll also need a valid (meaning: it's not expired and all values are visible) contact lens prescription. We accept either:All prescription values, lens brand, and doctor's contact information, orA picture of your official contact lens prescriptionIf you're interested in trying Scout by Seeglass contact lenses, it's best to speak with your doctor ahead of time or have us reach out to your doctor's office directly. Learn more. "
faq-2,FAQ,US,What if I need to change my order?,"We process orders quickly, but we'll do our best to accommodate any changes. The best way to change or cancel an order is to call us at 888.412.9281, 9:00 a.m.-10:00 p.m. ET daily. (Please note: Non-prescription sunglasses and Home Try-On orders cannot be changed or canceled.) "
faq-3,FAQ,US,What's the status of my order?,"To check on the status of an order, sign into your account on Seeglassparker.com using the email address and password you used during checkout. Once you're signed in, click ""Orders"" from the menu, and behold! Your info's all there. You're always welcome to reach out via live chat or Twitter, @SeeglassParkerHelp as well."
faq-4,FAQ,US,How do I order multiple pairs of glasses with different prescriptions?,"If you are interested in purchasing multiple pairs using different prescriptions (like, one for you and one for your spouse; one pair for distance and one for reading, you get the picture), please place a separate order for each prescription. Shipping is always free, so don't worry about getting charged extra for the separate orders."
faq-5,FAQ,US,Interested in placing a bigger order?,"To purchase Seeglass gift cards or sunglasses in multiples (quantities greater than 10), send an email to customer-support@seeglass.com. We'll be happy to help. Learn more"
faq-6,FAQ,US,Why is your website asking me to log into my account? ,"Your account is created as soon as you place a new order with us (even if you haven't set a password yet). Within your account, you can view your order history, check your order status, and print invoices for previous purchases. The first time you attempt to log in, you can set your password by selecting ""Forgot password?"" and entering your email address. If you're still unable to log into your account, chat us or give us a call at 888.412.9281, 9:00 a.m.-10:00 p.m. ET. "
faq-7,FAQ,US,What is the Home Try-On program?,"Pick out five frames from a selection of our favorites to test out at home with our easy-and free!-Home Try-On program. You've got five days to take them for a spin and decide which style suits you best, then return all five frames and order the pair (or pairs) you like. Shipping is free both ways. Learn more here. Want to try on frames right away? Now you can! Our Virtual Try-On tool allows you to try on eyeglasses and sunglasses--seeing the realistic color, texture, and size of each style--with just an iPhone X (and above). It's on the Seeglass app."
faq-8,FAQ,US,Can you help me pick out a frame?,"Finding the right pair of frames can be tricky, but our personal stylists are here to help every day, 9 a.m.-10 p.m. ET. Email customer-support@seeglass.com or text us at 646.506.3228.If social media's more your thing, post pics of yourself in the frames using #Seeglasshometryon to get opinions from your friends, fam, whomever."
faq-9,FAQ,US,Which styles are available for Home Try-On?,"A variety of our styles are available to try on at home! Select ""Available for Home Try-On"" at the top of the Eyeglasses and Sunglasses galleries to browse your options. One thing to note: Some frames are unavailable because either they're out with other customers or they're part of a limited-edition collection. If you find a frame you love and it's not available to try on at home, you can always take advantage of our free 30-day return or exchange policy, or chat with a personal stylist any day of the week, 9:00 a.m.-10:00 p.m. ET to get other recommendations!"
faq-10,FAQ,US,The frames I like aren't available for Home Try-On. ,"You're not out of luck! We'd recommend trying the same frames in a different color. You can also chat with one of our personal stylists 9:00 a.m.-10:00 p.m. ET every day or email our team at customer-support@seeglass.com for personalized recommendations based on your fit and style preferences.  If you have an iPhone X and up, you can also test out our frames from the comfort of home using Virtual Try-On. Learn more. "
